,r2_score,mse,mae
linear_0,0.024707097512080445,7879.86802888276,67.18287684585728
linear_1,0.7102552608664483,2340.9893587980146,36.049845108734864
linear_2,0.4044183315710459,4811.99538689363,62.74336646133972
multiple_linear,0.987453677349118,101.36787265091021,7.536438480872304
0_degree_2,-0.2597517410511232,10178.150013514629,82.78224776900127
0_degree_3,-0.39010266803955806,11231.318861038484,85.1941120973553
1_degree_2,0.7154829044704513,2298.75267113578,35.21030399579537
1_degree_3,0.7151409837847046,2301.5152154680068,35.40075337325056
2_degree_2,0.3624801556232806,5150.834407456019,65.65529270766247
2_degree_3,0.2950327271112694,5695.775147008602,70.9176701068337
